Distribution r(n); n < 10^4.

Obtained (r(n), total n) :
(0: 4257), (>0: 5742), (1: 4995), (2: 747).

Where the sum of 0 and even values is almost equal 
to that of odd values, as conjectured.

Notes:
a, b : number of solutions to each eqn.
m, q : m=(a mod b); q=(a / b) as rational number.

r(n)     n   a   b   m   q  core(n)
   0   770  64  24  16  -1   770
   0   771  72  24   0   3   771
   0   772  16   4   0   4   193
   1   773   0   0  -1  -1   773
   1   774   0   0  -1  -1    86
   1   775   0   0  -1  -1    31
   2   776  40  20   0   2   194
   2   777  64  32   0   2   777
   0   778  28  20   8  -1   778
   0   779 120  56   8  -1   779
   0   780  48  16   0   3   195
   1   781   0   0  -1  -1   781
   1   782   0   0  -1  -1   782
   1   783   0   0  -1  -1    87
   0   784   2   2   0   1     1
   0   785  64  40  24  -1   785
   0   786  32  20  12  -1   786
   0   787  60  28   4  -1   787
   1   788   0   0  -1  -1   197
   1   789   0   0  -1  -1   789
   1   790   0   0  -1  -1   790
   1   791   0   0  -1  -1   791
   1   792   0   0  -1  -1    22
   2   793  32  16   0   2   793
   0   794  84  36  12  -1   794
   0   795  48  16   0   3   795
   1   796   0   0  -1  -1   199
   1   797   0   0  -1  -1   797
   1   798   0   0  -1  -1   798
   1   799   0   0  -1  -1   799
   0   800   2   2   0   1     2
   0   801  48  20   8  -1    89
   0   802  24  20   4  -1   802
   0   803 120  64  56  -1   803
   0   804  48  20   8  -1   201
   1   805   0   0  -1  -1   805
   1   806   0   0  -1  -1   806
   1   807   0   0  -1  -1   807
   0   808  12   4   0   3   202
   0   809 128  72  56  -1   809
   0   810   4   4   0   1    10
   0   811  84  44  40  -1   811
   0   812  48  32  16  -1   203
   1   813   0   0  -1  -1   813
   1   814   0   0  -1  -1   814
   1   815   0   0  -1  -1   815
   0   816  24  16   8  -1    51
   0   817  48  20   8  -1   817
   0   818  56  32  24  -1   818
   0   819  24   8   0   3    91
   1   820   0   0  -1  -1   205
   1   821   0   0  -1  -1   821
   1   822   0   0  -1  -1   822
   1   823   0   0  -1  -1   823
   1   824   0   0  -1  -1   206
