Distribution r(n); n < 10^4.

Obtained (r(n), total n) :
(0: 4257), (>0: 5742), (1: 4995), (2: 747).

Where the sum of 0 and even values is almost equal 
to that of odd values, as conjectured.

Notes:
a, b : number of solutions to each eqn.
m, q : m=(a mod b); q=(a / b) as rational number.

r(n)     n   a   b   m   q  core(n)
   0  7961 304 148   8  -1  7961
   0  7962  88  40   8  -1  7962
   0  7963 156  84  72  -1  7963
   1  7964   0   0  -1  -1  1991
   1  7965   0   0  -1  -1   885
   1  7966   0   0  -1  -1  7966
   1  7967   0   0  -1  -1  7967
   0  7968  16   4   0   4   498
   0  7969 256 136 120  -1  7969
   0  7970 152  88  64  -1  7970
   0  7971 360 184 176  -1  7971
   0  7972  96  32   0   3  1993
   1  7973   0   0  -1  -1  7973
   1  7974   0   0  -1  -1   886
   1  7975   0   0  -1  -1   319
   0  7976 108  52   4  -1  1994
   0  7977 144  92  52  -1  7977
   0  7978  84  36  12  -1  7978
   0  7979 528 256  16  -1  7979
   2  7980  96  48   0   2  1995
   1  7981   0   0  -1  -1  7981
   1  7982   0   0  -1  -1  7982
   1  7983   0   0  -1  -1   887
   0  7984  36  20  16  -1   499
   0  7985 416 192  32  -1  7985
   0  7986  16   4   0   4    66
   0  7987  12  12   0   1   163
   1  7988   0   0  -1  -1  1997
   1  7989   0   0  -1  -1  7989
   1  7990   0   0  -1  -1  7990
   1  7991   0   0  -1  -1  7991
   1  7992   0   0  -1  -1   222
   0  7993 176  84   8  -1  7993
   0  7994 272 152 120  -1  7994
   2  7995 192  96   0   2  7995
   1  7996   0   0  -1  -1  1999
   1  7997   0   0  -1  -1  7997
   1  7998   0   0  -1  -1  7998
   1  7999   0   0  -1  -1  7999
   1  8000   0   0  -1  -1     5
   2  8001  64  32   0   2   889
   2  8002  48  24   0   2  8002
   0  8003 312 152   8  -1  8003
   0  8004 192  80  32  -1  2001
   1  8005   0   0  -1  -1  8005
   1  8006   0   0  -1  -1  8006
   1  8007   0   0  -1  -1  8007
   0  8008  32   8   0   4  2002
   0  8009 448 232 216  -1  8009
   2  8010  48  24   0   2   890
   0  8011 300 156 144  -1  8011
   0  8012 108  60  48  -1  2003
   1  8013   0   0  -1  -1  8013
   1  8014   0   0  -1  -1  8014
   1  8015   0   0  -1  -1  8015
   1  8016   0   0  -1  -1   501
   0  8017 112  60  52  -1  8017
   0  8018 208 124  84  -1  8018
   0  8019  12   4   0   3    11
   1  8020   0   0  -1  -1  2005
   1  8021   0   0  -1  -1  8021
   1  8022   0   0  -1  -1  8022
   1  8023   0   0  -1  -1  8023
   1  8024   0   0  -1  -1  2006
   0  8025  80  44  36  -1   321
   0  8026 124  52  20  -1  8026
   0  8027 336 160  16  -1  8027
   1  8028   0   0  -1  -1   223
   1  8029   0   0  -1  -1  8029
   1  8030   0   0  -1  -1  8030
   1  8031   0   0  -1  -1  8031
   1  8032   0   0  -1  -1   502
   0  8033 256 120  16  -1  8033
   0  8034 144  64  16  -1  8034
   0  8035 168  56   0   3  8035
   2  8036  32  16   0   2    41
   1  8037   0   0  -1  -1   893
   1  8038   0   0  -1  -1  8038
   1  8039   0   0  -1  -1  8039
   0  8040  64  40  24  -1  2010
   0  8041 224 120 104  -1  8041
   0  8042 156  84  72  -1  8042
   0  8043 192  80  32  -1  8043
   0  8044  84  44  40  -1  2011
   1  8045   0   0  -1  -1  8045
   1  8046   0   0  -1  -1   894
   1  8047   0   0  -1  -1  8047
   1  8048   0   0  -1  -1   503
   0  8049 400 204 196  -1  8049
   0  8050  16   0  -1  -1   322
   0  8051 408 208 200  -1  8051
   1  8052   0   0  -1  -1  2013
   1  8053   0   0  -1  -1  8053
   1  8054   0   0  -1  -1  8054
   1  8055   0   0  -1  -1   895
   1  8056   0   0  -1  -1  2014
   0  8057 352 152  48  -1  8057
   0  8058  80  32  16  -1  8058
   0  8059 252 100  52  -1  8059
   1  8060   0   0  -1  -1  2015
   1  8061   0   0  -1  -1  8061
   1  8062   0   0  -1  -1  8062
   1  8063   0   0  -1  -1  8063
   1  8064   0   0  -1  -1    14
   0  8065 128  72  56  -1  8065
   0  8066 184  88   8  -1  8066
   0  8067 240 128 112  -1  8067
   0  8068  48  28  20  -1  2017
   1  8069   0   0  -1  -1  8069
   1  8070   0   0  -1  -1  8070
   1  8071   0   0  -1  -1  8071
   0  8072  56  20  16  -1  2018
   0  8073  64  16   0   4   897
   0  8074 136  72  64  -1  8074
   2  8075  48  24   0   2   323
   0  8076 192  88  16  -1  2019
   1  8077   0   0  -1  -1  8077
   1  8078   0   0  -1  -1  8078
   1  8079   0   0  -1  -1  8079
   2  8080  32  16   0   2   505
   0  8081 448 240 208  -1  8081
   0  8082  24   4   0   6   898
   0  8083 192 128  64  -1  8083
   1  8084   0   0  -1  -1  2021
   1  8085   0   0  -1  -1   165
   1  8086   0   0  -1  -1  8086
   1  8087   0   0  -1  -1  8087
   1  8088   0   0  -1  -1  2022
   0  8089 160  64  32  -1  8089
   2  8090 224 112   0   2  8090
   0  8091 168  88  80  -1   899
   1  8092   0   0  -1  -1     7
   1  8093   0   0  -1  -1  8093
   1  8094   0   0  -1  -1  8094
   1  8095   0   0  -1  -1  8095
   0  8096  56  32  24  -1   506
   0  8097 208 108 100  -1  8097
   0  8098  80  24   8  -1  8098
   0  8099 336 160  16  -1  8099
   0  8100   2   2   0   1     1
   1  8101   0   0  -1  -1  8101
   1  8102   0   0  -1  -1  8102
   1  8103   0   0  -1  -1  8103
   0  8104  68  36  32  -1  2026
   0  8105 288 128  32  -1  8105
   2  8106 160  80   0   2  8106
   0  8107  12   4   0   3    67
   0  8108 132  76  56  -1  2027
   1  8109   0   0  -1  -1   901
   1  8110   0   0  -1  -1  8110
   1  8111   0   0  -1  -1  8111
   0  8112   4   4   0   1     3
   0  8113 224  88  48  -1  8113
   0  8114 192  92   8  -1  8114
   0  8115 288 128  32  -1  8115
   1  8116   0   0  -1  -1  2029
   1  8117   0   0  -1  -1  8117
   1  8118   0   0  -1  -1   902
   1  8119   0   0  -1  -1  8119
   1  8120   0   0  -1  -1  2030
   0  8121 240 132 108  -1  8121
   2  8122  64  32   0   2  8122
   0  8123 252 132 120  -1  8123
   1  8124   0   0  -1  -1  2031
   1  8125   0   0  -1  -1    13
   1  8126   0   0  -1  -1  8126
   1  8127   0   0  -1  -1   903
   1  8128   0   0  -1  -1   127
   0  8129 400 204 196  -1  8129
   0  8130 112  64  48  -1  8130
   0  8131 144  64  16  -1  8131
   0  8132 112  52   8  -1  2033
   1  8133   0   0  -1  -1  8133
   1  8134   0   0  -1  -1   166
   1  8135   0   0  -1  -1  8135
   2  8136  16   8   0   2   226
   0  8137 160  56  48  -1  8137
   2  8138  96  48   0   2  8138
   0  8139 432 240 192  -1  8139
   2  8140  96  48   0   2  2035
   1  8141   0   0  -1  -1  8141
   1  8142   0   0  -1  -1  8142
   1  8143   0   0  -1  -1  8143
   1  8144   0   0  -1  -1   509
   2  8145  96  48   0   2   905
   0  8146 120  56   8  -1  8146
   0  8147 444 252 192  -1  8147
   1  8148   0   0  -1  -1  2037
   1  8149   0   0  -1  -1  8149
   1  8150   0   0  -1  -1   326
   1  8151   0   0  -1  -1  8151
   1  8152   0   0  -1  -1  2038
   0  8153 384 208 176  -1  8153
   0  8154  56  32  24  -1   906
   0  8155 144  64  16  -1  8155
   1  8156   0   0  -1  -1  2039
   1  8157   0   0  -1  -1  8157
   1  8158   0   0  -1  -1  8158
   1  8159   0   0  -1  -1  8159
   1  8160   0   0  -1  -1   510
   0  8161 352 184 168  -1  8161
   2  8162 128  64   0   2  8162
   0  8163  36  36   0   1   907
   0  8164 128  72  56  -1  2041
   1  8165   0   0  -1  -1  8165
   1  8166   0   0  -1  -1  8166
   1  8167   0   0  -1  -1  8167
   0  8168 100  36  28  -1  2042
   2  8169 320 160   0   2  8169
   2  8170  80  40   0   2  8170
   0  8171 252 124   4  -1  8171
   0  8172  60  28   4  -1   227
   1  8173   0   0  -1  -1  8173
   1  8174   0   0  -1  -1  8174
   1  8175   0   0  -1  -1   327
   1  8176   0   0  -1  -1   511
   0  8177 256 112  32  -1  8177
   0  8178  96  56  40  -1  8178
   0  8179 300 156 144  -1  8179
   1  8180   0   0  -1  -1  2045
   1  8181   0   0  -1  -1   101
   1  8182   0   0  -1  -1  8182
   1  8183   0   0  -1  -1   167
   1  8184   0   0  -1  -1  2046
   0  8185 128  72  56  -1  8185
   0  8186 300 148   4  -1  8186
   0  8187 168  88  80  -1  8187
   1  8188   0   0  -1  -1  2047
   1  8189   0   0  -1  -1  8189
   1  8190   0   0  -1  -1   910
   1  8191   0   0  -1  -1  8191
   0  8192   2   2   0   1     2
   0  8193 208 108 100  -1  8193
   2  8194  96  48   0   2  8194
   0  8195 384 176  32  -1  8195
   0  8196 144  60  24  -1  2049
   1  8197   0   0  -1  -1  8197
   1  8198   0   0  -1  -1  8198
   1  8199   0   0  -1  -1   911
   0  8200   8   8   0   1    82
   0  8201 400 188  24  -1  8201
   0  8202 160 104  56  -1  8202
   0  8203 216 104   8  -1  8203
   0  8204 216 120  96  -1  2051
   1  8205   0   0  -1  -1  8205
   1  8206   0   0  -1  -1  8206
   1  8207   0   0  -1  -1  8207
   0  8208  16  12   4  -1    57
   0  8209 224 104  16  -1  8209
   0  8210 200 112  88  -1  8210
   0  8211 288 160 128  -1  8211
   1  8212   0   0  -1  -1  2053
   1  8213   0   0  -1  -1  8213
   1  8214   0   0  -1  -1     6
   1  8215   0   0  -1  -1  8215
   1  8216   0   0  -1  -1  2054
   0  8217  48  36  12  -1   913
   0  8218  72  48  24  -1  8218
   0  8219 420 196  28  -1  8219
   1  8220   0   0  -1  -1  2055
   1  8221   0   0  -1  -1  8221
   1  8222   0   0  -1  -1  8222
   1  8223   0   0  -1  -1  8223
   2  8224  32  16   0   2   514
   0  8225  96  56  40  -1   329
   0  8226  72  40  32  -1   914
   0  8227 120  64  56  -1  8227
   0  8228  16   4   0   4    17
   1  8229   0   0  -1  -1  8229
   1  8230   0   0  -1  -1  8230
   1  8231   0   0  -1  -1  8231
   0  8232   8   0  -1  -1    42
   0  8233 112  84  28  -1  8233
   2  8234 144  72   0   2  8234
   2  8235  96  48   0   2   915
   2  8236  96  48   0   2  2059
   1  8237   0   0  -1  -1  8237
   1  8238   0   0  -1  -1  8238
   1  8239   0   0  -1  -1  8239
   0  8240  72  40  32  -1   515
   2  8241 384 192   0   2  8241
   0  8242  72  40  32  -1  8242
   0  8243 252 148 104  -1  8243
   1  8244   0   0  -1  -1   229
   1  8245   0   0  -1  -1  8245
   1  8246   0   0  -1  -1  8246
   1  8247   0   0  -1  -1  8247
   1  8248   0   0  -1  -1  2062
   0  8249 608 296  16  -1  8249
   2  8250  16   8   0   2   330
   0  8251 240 112  16  -1  8251
   1  8252   0   0  -1  -1  2063
   1  8253   0   0  -1  -1   917
   1  8254   0   0  -1  -1  8254
   1  8255   0   0  -1  -1  8255
   0  8256  48  20   8  -1   129
   0  8257 128  48  32  -1  8257
   2  8258 232 116   0   2  8258
   0  8259 360 160  40  -1  8259
   0  8260  96  56  40  -1  2065
   1  8261   0   0  -1  -1  8261
   1  8262   0   0  -1  -1   102
   1  8263   0   0  -1  -1  8263
   0  8264 112  52   8  -1  2066
   0  8265 192  80  32  -1  8265
   0  8266  92  44   4  -1  8266
   0  8267 360 152  56  -1  8267
   0  8268  96  32   0   3  2067
   1  8269   0   0  -1  -1  8269
   1  8270   0   0  -1  -1  8270
   1  8271   0   0  -1  -1   919
   1  8272   0   0  -1  -1   517
   0  8273 256 144 112  -1  8273
   0  8274 144  80  64  -1  8274
   0  8275  36  12   0   3   331
   1  8276   0   0  -1  -1  2069
   1  8277   0   0  -1  -1  8277
   1  8278   0   0  -1  -1  8278
   1  8279   0   0  -1  -1  8279
   1  8280   0   0  -1  -1   230
   0  8281   2   2   0   1     1
   0  8282 120  72  48  -1  8282
   0  8283 192 104  88  -1  8283
   1  8284   0   0  -1  -1  2071
   1  8285   0   0  -1  -1  8285
   1  8286   0   0  -1  -1  8286
   1  8287   0   0  -1  -1  8287
   1  8288   0   0  -1  -1   518
   0  8289  80  44  36  -1   921
   0  8290  88  48  40  -1  8290
   0  8291 564 284 280  -1  8291
   0  8292  80  44  36  -1  2073
   1  8293   0   0  -1  -1  8293
   1  8294   0   0  -1  -1  8294
   1  8295   0   0  -1  -1  8295
   0  8296  40  16   8  -1  2074
   0  8297 288 160 128  -1  8297
   0  8298  36  20  16  -1   922
   0  8299 192  88  16  -1  8299
   0  8300  36  20  16  -1    83
   1  8301   0   0  -1  -1  8301
   1  8302   0   0  -1  -1  8302
   1  8303   0   0  -1  -1    23
   1  8304   0   0  -1  -1   519
   0  8305 192  80  32  -1  8305
   0  8306 176  76  24  -1  8306
   0  8307 120  72  48  -1   923
   1  8308   0   0  -1  -1  2077
   1  8309   0   0  -1  -1  8309
   1  8310   0   0  -1  -1  8310
   1  8311   0   0  -1  -1  8311
   1  8312   0   0  -1  -1  2078
   2  8313 192  96   0   2  8313
   0  8314 124  68  56  -1  8314
   0  8315 456 248 208  -1  8315
   1  8316   0   0  -1  -1   231
   1  8317   0   0  -1  -1  8317
   1  8318   0   0  -1  -1  8318
   1  8319   0   0  -1  -1  8319
   0  8320   8   8   0   1   130
   0  8321 576 280  16  -1  8321
   0  8322 128  80  48  -1  8322
   0  8323 144  80  64  -1  8323
   0  8324 240 108  24  -1  2081
   1  8325   0   0  -1  -1    37
   1  8326   0   0  -1  -1  8326
   1  8327   0   0  -1  -1  8327
   0  8328  48  20   8  -1  2082
   0  8329 320 168 152  -1  8329
   0  8330  24  16   8  -1   170
   0  8331 216 120  96  -1  8331
   0  8332  84  28   0   3  2083
   1  8333   0   0  -1  -1  8333
   1  8334   0   0  -1  -1   926
   1  8335   0   0  -1  -1  8335
   0  8336 128  56  16  -1   521
   0  8337 224 120 104  -1  8337
   0  8338  64  28   8  -1  8338
   0  8339 312 152   8  -1  8339
   1  8340   0   0  -1  -1  2085
   1  8341   0   0  -1  -1  8341
   1  8342   0   0  -1  -1  8342
   1  8343   0   0  -1  -1   103
   1  8344   0   0  -1  -1  2086
   0  8345 416 224 192  -1  8345
   0  8346 160  88  72  -1  8346
   0  8347 144  88  56  -1  8347
   1  8348   0   0  -1  -1  2087
   1  8349   0   0  -1  -1    69
   1  8350   0   0  -1  -1   334
   1  8351   0   0  -1  -1  8351
   0  8352   4   4   0   1    58
   0  8353 112  60  52  -1  8353
   2  8354 240 120   0   2  8354
   0  8355 240 128 112  -1  8355
   0  8356 176  84   8  -1  2089
   1  8357   0   0  -1  -1  8357
   1  8358   0   0  -1  -1  8358
   1  8359   0   0  -1  -1  8359
   0  8360  96  40  16  -1  2090
   0  8361 144  68   8  -1   929
   0  8362  88  56  32  -1  8362
   0  8363 420 180  60  -1  8363
   0  8364 144  80  64  -1  2091
   1  8365   0   0  -1  -1  8365
   1  8366   0   0  -1  -1  8366
   1  8367   0   0  -1  -1  8367
   0  8368  60  20   0   3   523
   0  8369 384 208 176  -1  8369
   0  8370  48  16   0   3   930
   0  8371 264 136 128  -1  8371
   1  8372   0   0  -1  -1  2093
   1  8373   0   0  -1  -1  8373
   1  8374   0   0  -1  -1  8374
   1  8375   0   0  -1  -1   335
   1  8376   0   0  -1  -1  2094
   0  8377 192 104  88  -1  8377
   0  8378 152  64  24  -1  8378
   0  8379  12   4   0   3    19
   1  8380   0   0  -1  -1  2095
   1  8381   0   0  -1  -1    29
   1  8382   0   0  -1  -1  8382
   1  8383   0   0  -1  -1  8383
   0  8384  60  36  24  -1   131
   2  8385 256 128   0   2  8385
   0  8386  96  40  16  -1  8386
   0  8387 252 124   4  -1  8387
   0  8388  48  20   8  -1   233
   1  8389   0   0  -1  -1  8389
   1  8390   0   0  -1  -1  8390
   1  8391   0   0  -1  -1  8391
   0  8392  48  20   8  -1  2098
   2  8393 256 128   0   2  8393
   0  8394 136  64   8  -1  8394
   0  8395 144  96  48  -1  8395
   0  8396 228 116 112  -1  2099
   1  8397   0   0  -1  -1   933
   1  8398   0   0  -1  -1  8398
   1  8399   0   0  -1  -1  8399
   1  8400   0   0  -1  -1    21
   0  8401 224 120 104  -1  8401
   0  8402 128  44  40  -1  8402
   0  8403 216 112 104  -1  8403
   1  8404   0   0  -1  -1  2101
   1  8405   0   0  -1  -1     5
   1  8406   0   0  -1  -1   934
   1  8407   0   0  -1  -1  8407
   1  8408   0   0  -1  -1  2102
   0  8409 208 108 100  -1  8409
   0  8410   4   4   0   1    10
   0  8411 480 224  32  -1  8411
   1  8412   0   0  -1  -1  2103
   1  8413   0   0  -1  -1  8413
   1  8414   0   0  -1  -1  8414
   1  8415   0   0  -1  -1   935
   1  8416   0   0  -1  -1   526
   0  8417 400 188  24  -1  8417
   0  8418  64  40  24  -1  8418
   0  8419 228 116 112  -1  8419
   0  8420 192 104  88  -1  2105
   1  8421   0   0  -1  -1  8421
   1  8422   0   0  -1  -1  8422
   1  8423   0   0  -1  -1  8423
   0  8424  12   4   0   3    26
   0  8425  32  24   8  -1   337
   0  8426 216 104   8  -1  8426
   0  8427   4   4   0   1     3
   0  8428  12  12   0   1    43
   1  8429   0   0  -1  -1  8429
   1  8430   0   0  -1  -1  8430
   1  8431   0   0  -1  -1  8431
   1  8432   0   0  -1  -1   527
   0  8433  80  44  36  -1   937
   0  8434 144  76  68  -1  8434
   0  8435 336 160  16  -1  8435
   1  8436   0   0  -1  -1  2109
   1  8437   0   0  -1  -1  8437
   1  8438   0   0  -1  -1  8438
   1  8439   0   0  -1  -1  8439
   1  8440   0   0  -1  -1  2110
   0  8441 480 248 232  -1  8441
   0  8442  32   8   0   4   938
   0  8443 132  60  12  -1  8443
   1  8444   0   0  -1  -1  2111
   1  8445   0   0  -1  -1  8445
   1  8446   0   0  -1  -1  8446
   1  8447   0   0  -1  -1  8447
   0  8448  16  12   4  -1    33
   0  8449 192  80  32  -1  8449
   0  8450   2   2   0   1     2
   0  8451  96  32   0   3   939
   2  8452  64  32   0   2  2113
   1  8453   0   0  -1  -1  8453
   1  8454   0   0  -1  -1  8454
   1  8455   0   0  -1  -1  8455
   0  8456 112  64  48  -1  2114
   0  8457 144  76  68  -1  8457
   0  8458  60  28   4  -1  8458
   0  8459 504 256 248  -1  8459
   0  8460  24   8   0   3   235
   1  8461   0   0  -1  -1  8461
   1  8462   0   0  -1  -1  8462
   1  8463   0   0  -1  -1  8463
   0  8464   2   2   0   1     1
   0  8465 320 168 152  -1  8465
   0  8466 192  88  16  -1  8466
   0  8467 180  84  12  -1  8467
   1  8468   0   0  -1  -1  2117
   1  8469   0   0  -1  -1   941
   1  8470   0   0  -1  -1    70
   1  8471   0   0  -1  -1  8471
   1  8472   0   0  -1  -1  2118
   0  8473 160  96  64  -1  8473
   0  8474 208 112  96  -1  8474
   0  8475  72  40  32  -1   339
   1  8476   0   0  -1  -1  2119
   1  8477   0   0  -1  -1   173
   1  8478   0   0  -1  -1   942
   1  8479   0   0  -1  -1  8479
   0  8480  56  24   8  -1   530
   0  8481 224 104  16  -1  8481
   0  8482  72  44  28  -1  8482
   0  8483 360 176   8  -1  8483
   0  8484 160  72  16  -1  2121
   1  8485   0   0  -1  -1  8485
   1  8486   0   0  -1  -1  8486
   1  8487   0   0  -1  -1   943
   0  8488  36  28   8  -1  2122
   0  8489 576 312 264  -1  8489
   0  8490 128  72  56  -1  8490
   0  8491 240 112  16  -1  8491
   0  8492 168  96  72  -1  2123
   1  8493   0   0  -1  -1  8493
   1  8494   0   0  -1  -1  8494
   1  8495   0   0  -1  -1  8495
   0  8496  36  20  16  -1    59
   0  8497 128  88  40  -1  8497
   2  8498 192  96   0   2  8498
   0  8499 288 160 128  -1  8499
   1  8500   0   0  -1  -1    85
   1  8501   0   0  -1  -1  8501
   1  8502   0   0  -1  -1  8502
   1  8503   0   0  -1  -1  8503
   1  8504   0   0  -1  -1  2126
   0  8505  32   8   0   4   105
   0  8506 108  52   4  -1  8506
   0  8507 216 120  96  -1  8507
   1  8508   0   0  -1  -1  2127
   1  8509   0   0  -1  -1  8509
   1  8510   0   0  -1  -1  8510
   1  8511   0   0  -1  -1  8511
   1  8512   0   0  -1  -1   133
   0  8513 240 124 116  -1  8513
   0  8514  32  20  12  -1   946
   2  8515 192  96   0   2  8515
   0  8516 224 120 104  -1  2129
   1  8517   0   0  -1  -1  8517
   1  8518   0   0  -1  -1  8518
   1  8519   0   0  -1  -1  8519
   2  8520  64  32   0   2  2130
   2  8521 224 112   0   2  8521
   0  8522 180  92  88  -1  8522
   0  8523  60  20   0   3   947
   0  8524 156  92  64  -1  2131
   1  8525   0   0  -1  -1   341
   1  8526   0   0  -1  -1   174
   1  8527   0   0  -1  -1  8527
   1  8528   0   0  -1  -1   533
   0  8529 304 180 124  -1  8529
   0  8530  72  24   0   3  8530
   0  8531 600 304 296  -1  8531
   1  8532   0   0  -1  -1   237
   1  8533   0   0  -1  -1  8533
   1  8534   0   0  -1  -1  8534
   1  8535   0   0  -1  -1  8535
   1  8536   0   0  -1  -1  2134
   0  8537 240 100  40  -1  8537
   0  8538 152  88  64  -1  8538
   0  8539 204  92  20  -1  8539
   1  8540   0   0  -1  -1  2135
   1  8541   0   0  -1  -1   949
   1  8542   0   0  -1  -1  8542
   1  8543   0   0  -1  -1  8543
   1  8544   0   0  -1  -1   534
   0  8545 160  96  64  -1  8545
   0  8546 288 136  16  -1  8546
   2  8547 192  96   0   2  8547
   0  8548  64  40  24  -1  2137
   1  8549   0   0  -1  -1  8549
   1  8550   0   0  -1  -1    38
   1  8551   0   0  -1  -1  8551
   0  8552  84  44  40  -1  2138
   0  8553 304 148   8  -1  8553
   2  8554 128  64   0   2  8554
   2  8555 384 192   0   2  8555
   2  8556  96  48   0   2  2139
   1  8557   0   0  -1  -1  8557
   1  8558   0   0  -1  -1  8558
   1  8559   0   0  -1  -1   951
   1  8560   0   0  -1  -1   535
   0  8561 352 168  16  -1  8561
   0  8562  80  36   8  -1  8562
   0  8563 108  60  48  -1  8563
   1  8564   0   0  -1  -1  2141
   1  8565   0   0  -1  -1  8565
   1  8566   0   0  -1  -1  8566
   1  8567   0   0  -1  -1  8567
   1  8568   0   0  -1  -1   238
   0  8569 192 112  80  -1  8569
   0  8570 136  88  48  -1  8570
   2  8571 432 216   0   2  8571
   1  8572   0   0  -1  -1  2143
   1  8573   0   0  -1  -1  8573
   1  8574   0   0  -1  -1  8574
   1  8575   0   0  -1  -1     7
   1  8576   0   0  -1  -1   134
   0  8577 128  72  56  -1   953
   2  8578  64  32   0   2  8578
   0  8579 504 248   8  -1  8579
   2  8580 128  64   0   2  2145
   1  8581   0   0  -1  -1  8581
   1  8582   0   0  -1  -1  8582
   1  8583   0   0  -1  -1  8583
   0  8584  56  24   8  -1  2146
   0  8585 384 176  32  -1  8585
   0  8586  12   4   0   3   106
   0  8587 216 104   8  -1  8587
   0  8588 168  88  80  -1  2147
   1  8589   0   0  -1  -1  8589
   1  8590   0   0  -1  -1  8590
   1  8591   0   0  -1  -1    71
   0  8592  48  36  12  -1   537
   2  8593 160  80   0   2  8593
   0  8594 272 140 132  -1  8594
   0  8595  48  16   0   3   955
   1  8596   0   0  -1  -1  2149
   1  8597   0   0  -1  -1  8597
   1  8598   0   0  -1  -1  8598
   1  8599   0   0  -1  -1  8599
   1  8600   0   0  -1  -1    86
   2  8601 384 192   0   2  8601
   0  8602 112  32  16  -1  8602
   0  8603 288 160 128  -1  8603
   1  8604   0   0  -1  -1   239
   1  8605   0   0  -1  -1  8605
   1  8606   0   0  -1  -1  8606
   1  8607   0   0  -1  -1  8607
   0  8608  20   4   0   5   538
   2  8609 640 320   0   2  8609
   0  8610 160  96  64  -1  8610
   0  8611 168 104  64  -1  8611
   0  8612 128  72  56  -1  2153
   1  8613   0   0  -1  -1   957
   1  8614   0   0  -1  -1  8614
   1  8615   0   0  -1  -1  8615
   2  8616  80  40   0   2  2154
   0  8617 160  72  16  -1  8617
   0  8618 136  72  64  -1  8618
   0  8619  24  16   8  -1    51
   0  8620 144  64  16  -1  2155
   1  8621   0   0  -1  -1  8621
   1  8622   0   0  -1  -1   958
   1  8623   0   0  -1  -1  8623
   0  8624  12   4   0   3    11
   0  8625  32  24   8  -1   345
   0  8626  96  44   8  -1  8626
   0  8627 252 140 112  -1  8627
   1  8628   0   0  -1  -1  2157
   1  8629   0   0  -1  -1  8629
   1  8630   0   0  -1  -1  8630
   1  8631   0   0  -1  -1   959
   1  8632   0   0  -1  -1  2158
   0  8633 256 112  32  -1  8633
   0  8634 176  80  16  -1  8634
   0  8635 192  80  32  -1  8635
   1  8636   0   0  -1  -1  2159
   1  8637   0   0  -1  -1  8637
   1  8638   0   0  -1  -1  8638
   1  8639   0   0  -1  -1  8639
   1  8640   0   0  -1  -1    15
   0  8641 304 140  24  -1  8641
   0  8642 168  80   8  -1  8642
   0  8643 192 104  88  -1  8643
   0  8644 144  84  60  -1  2161
   1  8645   0   0  -1  -1  8645
   1  8646   0   0  -1  -1  8646
   1  8647   0   0  -1  -1  8647
   0  8648 112  48  16  -1  2162
   0  8649   2   2   0   1     1
   0  8650  20  12   8  -1   346
   0  8651 456 216  24  -1  8651
   0  8652  96  32   0   3  2163
   1  8653   0   0  -1  -1  8653
   1  8654   0   0  -1  -1  8654
   1  8655   0   0  -1  -1  8655
   1  8656   0   0  -1  -1   541
   0  8657 368 196 172  -1  8657
   0  8658  56  32  24  -1   962
   0  8659 264 120  24  -1  8659
   1  8660   0   0  -1  -1  2165
   1  8661   0   0  -1  -1  8661
   1  8662   0   0  -1  -1  8662
   1  8663   0   0  -1  -1  8663
   1  8664   0   0  -1  -1     6
   0  8665 192 104  88  -1  8665
   0  8666 200  96   8  -1  8666
   0  8667  36  12   0   3   107
   1  8668   0   0  -1  -1  2167
   1  8669   0   0  -1  -1  8669
   1  8670   0   0  -1  -1    30
   1  8671   0   0  -1  -1  8671
   1  8672   0   0  -1  -1   542
   0  8673  16  12   4  -1   177
   0  8674 120  68  52  -1  8674
   0  8675  60  28   4  -1   347
   0  8676  48  28  20  -1   241
   1  8677   0   0  -1  -1  8677
   1  8678   0   0  -1  -1  8678
   1  8679   0   0  -1  -1  8679
   2  8680  32  16   0   2  2170
   0  8681 416 192  32  -1  8681
   0  8682  72  16   8  -1  8682
   0  8683 192 128  64  -1  8683
   0  8684 168  88  80  -1  2171
   1  8685   0   0  -1  -1   965
   1  8686   0   0  -1  -1  8686
   1  8687   0   0  -1  -1  8687
   1  8688   0   0  -1  -1   543
   0  8689 176  92  84  -1  8689
   2  8690 160  80   0   2  8690
   0  8691 312 160 152  -1  8691
   1  8692   0   0  -1  -1  2173
   1  8693   0   0  -1  -1  8693
   1  8694   0   0  -1  -1   966
   1  8695   0   0  -1  -1  8695
   1  8696   0   0  -1  -1  2174
   0  8697 224  88  48  -1  8697
   0  8698  60  12   0   5  8698
   0  8699 420 212 208  -1  8699
   1  8700   0   0  -1  -1    87
   1  8701   0   0  -1  -1  8701
   1  8702   0   0  -1  -1  8702
   1  8703   0   0  -1  -1   967
   2  8704   8   4   0   2    34
   2  8705 352 176   0   2  8705
   0  8706 192 108  84  -1  8706
   0  8707 180 100  80  -1  8707
   0  8708 160  88  72  -1  2177
   1  8709   0   0  -1  -1  8709
   1  8710   0   0  -1  -1  8710
   1  8711   0   0  -1  -1  8711
   0  8712   2   2   0   1     2
   0  8713 176 100  76  -1  8713
   0  8714 316 156   4  -1  8714
   0  8715 192  80  32  -1  8715
   0  8716  84  36  12  -1  2179
   1  8717   0   0  -1  -1  8717
   1  8718   0   0  -1  -1  8718
   1  8719   0   0  -1  -1  8719
   0  8720 128  72  56  -1   545
   0  8721  96  56  40  -1   969
   0  8722  16   4   0   4   178
   0  8723 336 176 160  -1  8723
